gap,mu,gap_over_mu,n,resolved_count,median_sliding_length,mean_sliding_length,min_sliding_length,max_sliding_length
0.001,1.0,0.001,20,20,0.00040923649999999995,0.01748693465,5.4064e-05,0.264915
0.001,0.4,0.0025,20,18,0.00123561,7.363026684319999,8.64044e-05,74.2431
0.001,0.2,0.005,20,18,0.002079315,6.248266550885001,1.22147e-05,62.4066
0.001,0.1,0.01,20,18,0.0028410550000000003,5.86455550849,3.9262e-05,95.416
0.01,1.0,0.01,20,9,0.01951415,10.80924227265,0.000980853,90.5687
0.01,0.4,0.024999999999999998,20,15,0.01478545,0.05973435735,0.000423703,0.647022
0.01,0.2,0.049999999999999996,20,15,0.01689595,0.063233929,0.00184599,0.820481
0.01,0.1,0.09999999999999999,20,16,0.012422550000000001,0.0287503605,0.00167644,0.135428
0.1,1.0,0.1,20,6,0.1394515,0.24198289500000003,0.0129567,1.347
0.1,0.4,0.25,20,4,0.26815100000000003,0.3023553785,0.00344797,1.03507
0.1,0.2,0.5,20,3,0.3268765,0.36146325,0.0279378,1.11948
0.1,0.1,1.0,20,4,0.2749665,0.380954435,0.0220567,1.84516
